"provincias_vec","wave_vec","correlation_vec_temp","p_value_vec_temp","correlation_vec_wind","p_value_vec_wind","correlation_vec_prec","p_value_vec_prec"
"cantabria","second",-0.489928228493171,8.06718709944573e-10,-0.0624753298503529,0.463370958589696,-0.016210098771718,0.849235956462438
"castellon","second",-0.741645012448535,3.18314588197563e-26,-0.259211034217106,0.00177129995593316,0.0901125174748209,0.284479521810613
"ceuta","second",-0.705693278657865,7.48795696360723e-23,-0.173911451338906,0.0377754436877733,0.237347532455276,0.00431377037229998
"ciudadReal","second",-0.51057069022093,1.84261414315025e-10,-0.160408498587269,0.0611410008484682,0.229507327839139,0.00697971628605144
"cordoba","second",-0.769434554120706,4.82899369525445e-29,-0.410984147872287,3.76507486679042e-07,0.231079708554632,0.00566017497416217
"coruña","second",-0.463245860323267,5.6793112134551e-09,0.0011074175154163,0.989526818058529,0.302724027431177,0.000237948655532265
"cuenca","second",-0.777338545266368,3.56250011637557e-30,-0.349832516344991,1.84557123277743e-05,0.230832419950237,0.00554246324193315
"gipuzkoa","second",-0.574061877733586,6.61594360539533e-14,0.226977672070425,0.00640853717132319,0.0352682887286415,0.675818427450495
"girona","second",-0.752802234383362,6.39428145665079e-26,-0.355183434838076,2.36663188582552e-05,-0.00800588115327732,0.926573763786786
"granada","second",-0.753386014833145,3.80853794350544e-17,-0.165461153840211,0.125627480117076,0.0286546506302433,0.792195183858923
"guadalajara","second",-0.345459658765123,2.38214476150469e-05,-0.0405463570764686,0.630654209738388,0.121052628112736,0.149817657354279
"huelva","second",-0.81591468853413,1.20762116490325e-34,-0.0676554408820754,0.427053618991957,0.420584142347174,2.2935471943567e-07
"huesca","second",-0.437361587142091,4.71280311039771e-08,-0.016836120360572,0.841810746362013,0.158215181597447,0.0591229169743262
"jaen","second",-0.814227845858549,2.93941391668103e-32,-0.354657008677169,3.23498946716857e-05,0.314514182659123,0.000253623852671473
"laRioja","second",-0.536159816075091,5.16145038904905e-12,-0.19951371814158,0.0168958052836948,0.0251941405649407,0.765183211894371
"lasPalmas","second",0.35442489177062,1.508392896841e-05,0.0574439478598933,0.497116084048108,-0.0446441126045413,0.59780683572679
"leon","second",0.142321062174412,0.309347046008517,0.382342588497853,0.00472306555385837,0.19203369285638,0.168342362105626
"lleida","second",-0.248903323161206,0.00272068366609633,-0.0537039782708984,0.524105482002349,0.21888243451625,0.00862912346612946
"lugo","second",-0.478080380312762,1.55637344308902e-09,0.0275751404798992,0.743729296873261,0.184049258640408,0.0277767250478425
"madrid","second",-0.144970559999723,0.0874553179191339,-0.0555922673336548,0.514153431104962,0.0624512734484625,0.463543492357858
"malaga","second",-0.518154968200882,1.97538192490713e-10,-0.300027236197381,0.000473808890001214,0.2788289079029,0.00120587529608577
"melilla","second",-0.606164858304658,1.03934816218551e-15,-0.250188997610384,0.00258128823069434,-0.0412007272283721,0.625144430749836
"murcia","second",-0.606110052095664,1.04716379386877e-15,-0.373082632032439,4.45234720761759e-06,0.183338106262742,0.028395702908937
"navarra","second",-0.381990655618616,5.70554103056432e-06,-0.181755724099592,0.0362781450734312,0.204636904947131,0.0181388248334473
"ourense","second",-0.622271991193376,2.27170150619199e-16,0.0131197623433077,0.877728021805683,0.429317191062005,1.20435643307276e-07
"palencia","second",-0.461137670019544,6.67210258649718e-05,0.00987650454692884,0.935804951270519,0.266204528610019,0.0270411065371764
"pontevedra","second",-0.730684609876324,3.87252890871412e-25,-0.329795514678641,5.76343143673613e-05,0.28044621279303,0.000692427762258092
"salamanca","second",-0.598682296604454,3.40810793938505e-14,-0.052029872858998,0.55352006337229,0.19582383401046,0.0244312458941182
