,Away_team,division,matchday,result_home,season,team,GD_home,Pts_difference,home_rank
46544,Sevilla FC,1,30,T,2019-2020,Barcelona,38.0,45.0,1
46547,Espanyol,1,30,W,2019-2020,Levante,-8.0,9.0,11
46544,Real Betis,1,30,W,2019-2020,Athletic,6.0,-2.0,9
46551,Getafe,1,30,T,2019-2020,SD Eibar,-16.0,-10.0,17
46545,Real Valladolid,1,30,W,2019-2020,Atlético Madrid,15.0,9.0,3
46546,Alavés,1,30,W,2019-2020,Celta de Vigo,-13.0,-18.0,16
46545,Valencia,1,30,L,2019-2020,CA Osasuna,-9.0,-9.0,12
46551,Real Madrid,1,30,L,2019-2020,Real Sociedad,10.0,21.0,6
46563,Sevilla FC,1,31,T,2019-2020,Villarreal,9.0,19.0,6
46556,Granada CF,1,31,T,2019-2020,CD Leganés,-21.0,-21.0,19
46554,Levante,1,31,W,2019-2020,Atlético Madrid,16.0,12.0,3
46558,Real Valladolid,1,31,T,2019-2020,Getafe,11.0,11.0,5
46553,Barcelona,1,31,L,2019-2020,Athletic,7.0,-3.0,10
46555,Alavés,1,31,W,2019-2020,CA Osasuna,-11.0,-6.0,12
46560,Celta de Vigo,1,31,L,2019-2020,Real Sociedad,9.0,20.0,7
46560,Real Madrid,1,31,L,2019-2020,RCD Mallorca,-21.0,-8.0,18
46562,SD Eibar,1,31,L,2019-2020,Valencia,-2.0,7.0,8
46558,Espanyol,1,31,W,2019-2020,Real Betis,-8.0,-5.0,13
46570,Sevilla FC,1,32,T,2019-2020,Real Valladolid,-10.0,-18.0,14
46566,Athletic,1,32,L,2019-2020,RCD Mallorca,-23.0,-9.0,18
46564,Celta de Vigo,1,32,T,2019-2020,Barcelona,39.0,46.0,2
46565,CA Osasuna,1,32,L,2019-2020,CD Leganés,-21.0,-22.0,19
46565,Alavés,1,32,W,2019-2020,Atlético Madrid,17.0,15.0,3
46571,Real Betis,1,32,W,2019-2020,Levante,-7.0,11.0,11
46573,Valencia,1,32,W,2019-2020,Villarreal,9.0,22.0,6
46570,SD Eibar,1,32,L,2019-2020,Granada CF,1.0,9.0,10
46568,Espanyol,1,32,W,2019-2020,Real Madrid,38.0,44.0,1
46569,Getafe,1,32,L,2019-2020,Real Sociedad,8.0,19.0,7
46576,RCD Mallorca,1,33,L,2019-2020,Celta de Vigo,-6.0,-18.0,17
46581,CD Leganés,1,33,W,2019-2020,Sevilla FC,12.0,15.0,4
46574,Barcelona,1,33,T,2019-2020,Atlético Madrid,18.0,13.0,3
46579,Alavés,1,33,W,2019-2020,Granada CF,0.0,12.0,9
46573,Valencia,1,33,W,2019-2020,Athletic,8.0,3.0,8
46578,Villarreal,1,33,L,2019-2020,Real Betis,-9.0,-7.0,13
46580,Real Valladolid,1,33,T,2019-2020,Levante,-5.0,9.0,12
46575,SD Eibar,1,33,W,2019-2020,CA Osasuna,-9.0,0.0,11
46577,Real Sociedad,1,33,L,2019-2020,Espanyol,-25.0,-22.0,20
46579,Getafe,1,33,W,2019-2020,Real Madrid,39.0,47.0,1
46587,Atlético Madrid,1,34,L,2019-2020,RCD Mallorca,-21.0,-7.0,18
46587,Real Betis,1,34,T,2019-2020,Celta de Vigo,-10.0,-20.0,15
46583,Real Valladolid,1,34,L,2019-2020,Alavés,-18.0,-6.0,17
46592,Granada CF,1,34,T,2019-2020,Valencia,-7.0,3.0,10
46584,Real Madrid,1,34,L,2019-2020,Athletic,10.0,2.0,8
46585,Espanyol,1,34,W,2019-2020,CD Leganés,-25.0,-20.0,19
46586,Getafe,1,34,T,2019-2020,CA Osasuna,-7.0,-2.0,11
46593,Barcelona,1,34,L,2019-2020,Villarreal,13.0,24.0,5
46590,Levante,1,34,T,2019-2020,Real Sociedad,8.0,20.0,7
46592,SD Eibar,1,34,W,2019-2020,Sevilla FC,15.0,18.0,4
46600,Valencia,1,35,L,2019-2020,Real Valladolid,-9.0,-18.0,14
46596,Atlético Madrid,1,35,T,2019-2020,Celta de Vigo,-10.0,-22.0,15
46599,CA Osasuna,1,35,W,2019-2020,Real Betis,-11.0,-6.0,13
46602,Getafe,1,35,W,2019-2020,Villarreal,10.0,27.0,5
46595,Espanyol,1,35,W,2019-2020,Barcelona,42.0,50.0,2
46596,SD Eibar,1,35,T,2019-2020,CD Leganés,-24.0,-22.0,19
46599,RCD Mallorca,1,35,L,2019-2020,Levante,-5.0,6.0,12
46601,Athletic,1,35,W,2019-2020,Sevilla FC,16.0,21.0,4
46598,Real Sociedad,1,35,W,2019-2020,Granada CF,2.0,13.0,8
46593,Real Madrid,1,35,L,2019-2020,Alavés,-19.0,-7.0,17
46605,CA Osasuna,1,36,L,2019-2020,Celta de Vigo,-10.0,-23.0,16
46604,Real Valladolid,1,36,W,2019-2020,Barcelona,43.0,53.0,2
46605,Real Betis,1,36,W,2019-2020,Atlético Madrid,21.0,17.0,3
46608,SD Eibar,1,36,L,2019-2020,Espanyol,-28.0,-25.0,20
46603,Levante,1,36,W,2019-2020,Athletic,8.0,4.0,8
46607,Valencia,1,36,W,2019-2020,CD Leganés,-24.0,-19.0,18
46607,Sevilla FC,1,36,L,2019-2020,RCD Mallorca,-22.0,-5.0,19
46606,Alavés,1,36,T,2019-2020,Getafe,9.0,8.0,6
46610,Villarreal,1,36,W,2019-2020,Real Sociedad,7.0,22.0,7
46609,Real Madrid,1,36,L,2019-2020,Granada CF,3.0,12.0,9
46620,SD Eibar,1,37,L,2019-2020,Real Valladolid,-11.0,-20.0,15
46614,CD Leganés,1,37,L,2019-2020,Athletic,9.0,3.0,10
46615,CA Osasuna,1,37,L,2019-2020,Barcelona,44.0,52.0,2
46613,Real Betis,1,37,W,2019-2020,Alavés,-21.0,-6.0,16
46616,Levante,1,37,L,2019-2020,Celta de Vigo,-11.0,-24.0,17
46614,Getafe,1,37,W,2019-2020,Atlético Madrid,22.0,20.0,3
46618,RCD Mallorca,1,37,W,2019-2020,Granada CF,2.0,15.0,8
46620,Villarreal,1,37,W,2019-2020,Real Madrid,44.0,59.0,1
46621,Sevilla FC,1,37,T,2019-2020,Real Sociedad,8.0,20.0,6
46623,Espanyol,1,37,W,2019-2020,Valencia,-7.0,8.0,9
46624,Barcelona,1,38,L,2019-2020,Alavés,-20.0,-7.0,16
46633,SD Eibar,1,38,W,2019-2020,Villarreal,10.0,28.0,5
46631,Real Betis,1,38,W,2019-2020,Real Valladolid,-13.0,-17.0,13
46627,Real Madrid,1,38,T,2019-2020,CD Leganés,-21.0,-18.0,18
46632,Valencia,1,38,W,2019-2020,Sevilla FC,19.0,25.0,4
46628,Celta de Vigo,1,38,T,2019-2020,Espanyol,-31.0,-28.0,20
46626,Levante,1,38,L,2019-2020,Getafe,7.0,6.0,8
46629,Athletic,1,38,W,2019-2020,Granada CF,3.0,18.0,7
46627,CA Osasuna,1,38,T,2019-2020,RCD Mallorca,-25.0,-8.0,19
46625,Real Sociedad,1,38,T,2019-2020,Atlético Madrid,24.0,18.0,3
47103,Celta de Vigo,1,1,T,2020-2021,SD Eibar,0.0,-2.0,12
47095,Granada CF,1,1,L,2020-2021,Athletic,0.0,-1.0,17
47096,Cádiz CF,1,1,W,2020-2021,CA Osasuna,0.0,3.0,6
47096,Real Betis,1,1,L,2020-2021,Alavés,0.0,-1.0,14
47102,Real Valladolid,1,1,T,2020-2021,Real Sociedad,0.0,-2.0,10
47103,Villarreal,1,1,T,2020-2021,SD Huesca,0.0,-2.0,11
47104,Levante,1,1,W,2020-2021,Valencia,0.0,3.0,2
47097,Sevilla FC,1,1,W,2020-2021,Atlético Madrid,0.0,3.0,3
47101,Getafe,1,1,W,2020-2021,Real Madrid,0.0,3.0,5
47098,Elche CF,1,1,W,2020-2021,Barcelona,0.0,3.0,1
47113,Villarreal,1,2,L,2020-2021,SD Eibar,0.0,-3.0,14
47108,CA Osasuna,1,2,W,2020-2021,Getafe,-2.0,2.0,12
47107,Valencia,1,2,W,2020-2021,Celta de Vigo,0.0,1.0,7
47109,SD Huesca,1,2,W,2020-2021,Cádiz CF,-2.0,2.0,11
47112,Real Betis,1,2,L,2020-2021,Real Valladolid,0.0,-3.0,17
47109,Alavés,1,2,W,2020-2021,Granada CF,2.0,6.0,2
47111,Real Sociedad,1,2,T,2020-2021,Real Madrid,2.0,1.0,5
47107,Athletic,1,2,W,2020-2021,Barcelona,3.0,6.0,1
47106,Levante,1,2,T,2020-2021,Atlético Madrid,2.0,1.0,4
47114,Elche CF,1,2,W,2020-2021,Sevilla FC,-2.0,2.0,10
47117,Alavés,1,3,T,2020-2021,Getafe,-1.0,0.0,11
47122,Valencia,1,3,T,2020-2021,SD Huesca,-2.0,-5.0,17
47121,Real Sociedad,1,3,L,2020-2021,Elche CF,-5.0,-3.0,20
47120,Real Betis,1,3,W,2020-2021,Real Madrid,2.0,4.0,3
47119,CA Osasuna,1,3,W,2020-2021,Levante,-2.0,0.0,10
47115,SD Eibar,1,3,W,2020-2021,Athletic,-3.0,1.0,14
47117,Granada CF,1,3,W,2020-2021,Atlético Madrid,2.0,4.0,2
47123,Cádiz CF,1,3,W,2020-2021,Sevilla FC,0.0,5.0,5
47116,Real Valladolid,1,3,T,2020-2021,Celta de Vigo,1.0,-1.0,8
47118,Villarreal,1,3,W,2020-2021,Barcelona,4.0,9.0,1
47134,Real Sociedad,1,4,W,2020-2021,Valencia,1.0,3.0,6
47132,Getafe,1,4,L,2020-2021,Real Betis,2.0,4.0,9
47126,SD Huesca,1,4,T,2020-2021,Atlético Madrid,7.0,2.0,5
47135,Alavés,1,4,W,2020-2021,Villarreal,-3.0,3.0,8
47132,Elche CF,1,4,L,2020-2021,SD Eibar,-2.0,-5.0,19
47130,Real Valladolid,1,4,W,2020-2021,Real Madrid,3.0,7.0,2
47134,Levante,1,4,W,2020-2021,Sevilla FC,2.0,8.0,3
47129,Athletic,1,4,W,2020-2021,Cádiz CF,-2.0,4.0,10
47127,Barcelona,1,4,L,2020-2021,Celta de Vigo,1.0,-2.0,12
47129,CA Osasuna,1,4,W,2020-2021,Granada CF,-2.0,8.0,4
47144,SD Eibar,1,5,L,2020-2021,Real Valladolid,-3.0,-7.0,20
47137,Villarreal,1,5,T,2020-2021,Atlético Madrid,7.0,0.0,5
47137,Real Sociedad,1,5,L,2020-2021,Getafe,2.0,2.0,11
47141,SD Huesca,1,5,T,2020-2021,Elche CF,-7.0,-2.0,18
47145,Real Betis,1,5,L,2020-2021,Valencia,2.0,2.0,9
47139,Celta de Vigo,1,5,W,2020-2021,CA Osasuna,-3.0,3.0,12
47135,Alavés,1,5,L,2020-2021,Athletic,-3.0,-1.0,19
47142,Real Madrid,1,5,L,2020-2021,Levante,-1.0,-2.0,16
47140,Granada CF,1,5,T,2020-2021,Cádiz CF,-1.0,2.0,10
47138,Sevilla FC,1,5,T,2020-2021,Barcelona,11.0,10.0,1
47150,Sevilla FC,1,6,W,2020-2021,Granada CF,0.0,9.0,3
47145,Celta de Vigo,1,6,W,2020-2021,Atlético Madrid,7.0,3.0,4
47152,Cádiz CF,1,6,L,2020-2021,Real Madrid,6.0,9.0,2
47146,Getafe,1,6,L,2020-2021,Barcelona,11.0,9.0,1
47153,CA Osasuna,1,6,T,2020-2021,SD Eibar,-2.0,-4.0,15
47150,Athletic,1,6,L,2020-2021,Levante,-3.0,-3.0,18
47154,Villarreal,1,6,L,2020-2021,Valencia,0.0,1.0,11
47146,Elche CF,1,6,L,2020-2021,Alavés,-3.0,-3.0,19
47154,Real Valladolid,1,6,T,2020-2021,SD Huesca,-2.0,-11.0,16
47151,Real Sociedad,1,6,L,2020-2021,Real Betis,1.0,6.0,10
47160,Valencia,1,7,W,2020-2021,Elche CF,-5.0,4.0,11
47160,Barcelona,1,7,W,2020-2021,Real Madrid,5.0,12.0,1
47156,CA Osasuna,1,7,L,2020-2021,Athletic,-2.0,1.0,16
47165,SD Eibar,1,7,L,2020-2021,Sevilla FC,2.0,4.0,8
47156,Real Betis,1,7,W,2020-2021,Atlético Madrid,9.0,6.0,3
47164,Alavés,1,7,L,2020-2021,Real Valladolid,-4.0,-10.0,20
47159,Villarreal,1,7,T,2020-2021,Cádiz CF,0.0,3.0,7
47161,Granada CF,1,7,L,2020-2021,Getafe,0.0,4.0,10
47162,Real Sociedad,1,7,L,2020-2021,SD Huesca,-2.0,-12.0,19
47157,Levante,1,7,T,2020-2021,Celta de Vigo,-6.0,-6.0,17
47173,Cádiz CF,1,8,L,2020-2021,SD Eibar,-1.0,-2.0,16
47172,SD Huesca,1,8,W,2020-2021,Real Madrid,7.0,15.0,1
47174,Athletic,1,8,L,2020-2021,Sevilla FC,1.0,3.0,10
47165,CA Osasuna,1,8,W,2020-2021,Atlético Madrid,11.0,9.0,2
47166,Alavés,1,8,T,2020-2021,Barcelona,8.0,6.0,6
47168,Real Betis,1,8,L,2020-2021,Elche CF,-4.0,3.0,12
47171,Celta de Vigo,1,8,W,2020-2021,Real Sociedad,11.0,10.0,3
47170,Levante,1,8,T,2020-2021,Granada CF,2.0,10.0,4
47169,Valencia,1,8,T,2020-2021,Getafe,-1.0,2.0,9
47172,Villarreal,1,8,L,2020-2021,Real Valladolid,-6.0,-11.0,20
47178,Celta de Vigo,1,9,T,2020-2021,Elche CF,-6.0,1.0,12
47183,SD Eibar,1,9,T,2020-2021,SD Huesca,-8.0,-15.0,20
47181,Barcelona,1,9,L,2020-2021,Real Betis,-2.0,7.0,9
47184,CA Osasuna,1,9,W,2020-2021,Sevilla FC,0.0,6.0,8
47179,Atlético Madrid,1,9,L,2020-2021,Cádiz CF,2.0,5.0,7
47179,Villarreal,1,9,L,2020-2021,Getafe,-1.0,1.0,11
47181,Granada CF,1,9,W,2020-2021,Real Sociedad,14.0,13.0,2
47180,Alavés,1,9,T,2020-2021,Levante,-5.0,-9.0,17
47176,Real Valladolid,1,9,L,2020-2021,Athletic,-2.0,3.0,14
47185,Real Madrid,1,9,W,2020-2021,Valencia,-2.0,1.0,10
47189,SD Huesca,1,10,T,2020-2021,CA Osasuna,-3.0,0.0,14
47192,Elche CF,1,10,T,2020-2021,Levante,-5.0,-11.0,18
47195,Real Madrid,1,10,T,2020-2021,Villarreal,4.0,6.0,4
47194,Celta de Vigo,1,10,W,2020-2021,Sevilla FC,1.0,9.0,7
47185,Atlético Madrid,1,10,L,2020-2021,Barcelona,11.0,8.0,5
47188,SD Eibar,1,10,T,2020-2021,Getafe,-3.0,-1.0,11
47190,Real Sociedad,1,10,L,2020-2021,Cádiz CF,-2.0,4.0,8
47191,Real Valladolid,1,10,L,2020-2021,Granada CF,0.0,8.0,6
47194,Alavés,1,10,T,2020-2021,Valencia,1.0,-1.0,9
47189,Athletic,1,10,L,2020-2021,Real Betis,-5.0,6.0,13
47201,Real Valladolid,1,11,T,2020-2021,Levante,-5.0,-13.0,19
47199,Elche CF,1,11,T,2020-2021,Cádiz CF,-3.0,2.0,8
47197,Valencia,1,11,W,2020-2021,Atlético Madrid,18.0,18.0,1
47204,Sevilla FC,1,11,L,2020-2021,SD Huesca,-8.0,-18.0,20
47195,Real Madrid,1,11,W,2020-2021,Alavés,-3.0,-3.0,11
47198,Barcelona,1,11,L,2020-2021,CA Osasuna,-3.0,-1.0,16
47196,Getafe,1,11,T,2020-2021,Athletic,1.0,4.0,9
47200,Celta de Vigo,1,11,L,2020-2021,Granada CF,-2.0,7.0,7
47204,Real Sociedad,1,11,T,2020-2021,Villarreal,4.0,4.0,5
47200,SD Eibar,1,11,L,2020-2021,Real Betis,-9.0,5.0,15
47206,Athletic,1,12,W,2020-2021,Celta de Vigo,-9.0,-4.0,16
47208,Levante,1,12,L,2020-2021,Getafe,-3.0,-4.0,15
47214,Real Madrid,1,12,L,2020-2021,Sevilla FC,4.0,11.0,6
47212,Atlético Madrid,1,12,L,2020-2021,Real Valladolid,-5.0,-8.0,19
47205,Cádiz CF,1,12,L,2020-2021,Barcelona,14.0,10.0,5
47211,SD Huesca,1,12,T,2020-2021,Granada CF,-4.0,5.0,8
47209,Real Betis,1,12,L,2020-2021,CA Osasuna,-7.0,-2.0,18
47207,Villarreal,1,12,T,2020-2021,Elche CF,-6.0,-5.0,12
47206,Real Sociedad,1,12,T,2020-2021,Alavés,-2.0,-5.0,11
47213,Valencia,1,12,T,2020-2021,SD Eibar,-1.0,-5.0,10
47223,CA Osasuna,1,13,W,2020-2021,Real Valladolid,-7.0,-5.0,16
47225,Athletic,1,13,T,2020-2021,Valencia,0.0,-6.0,12
47219,Sevilla FC,1,13,L,2020-2021,Getafe,-6.0,-5.0,17
47215,SD Huesca,1,13,L,2020-2021,Alavés,-2.0,-6.0,14
47221,Atlético Madrid,1,13,W,2020-2021,Real Madrid,7.0,17.0,3
47222,Real Sociedad,1,13,T,2020-2021,SD Eibar,-1.0,-7.0,11
47224,Real Betis,1,13,T,2020-2021,Villarreal,4.0,0.0,5
47220,Elche CF,1,13,W,2020-2021,Granada CF,-4.0,8.0,7
47221,Barcelona,1,13,L,2020-2021,Levante,-2.0,-11.0,18
47217,Cádiz CF,1,13,W,2020-2021,Celta de Vigo,-7.0,-1.0,9
47232,Athletic,1,14,L,2020-2021,SD Huesca,-8.0,-18.0,19
47227,Elche CF,1,14,W,2020-2021,Atlético Madrid,19.0,23.0,1
47233,Barcelona,1,14,T,2020-2021,Valencia,0.0,-8.0,13
47230,Levante,1,14,L,2020-2021,Real Sociedad,17.0,9.0,3
47234,CA Osasuna,1,14,W,2020-2021,Villarreal,4.0,3.0,4
47231,Sevilla FC,1,14,T,2020-2021,Real Valladolid,-6.0,-7.0,17
47230,Alavés,1,14,W,2020-2021,Celta de Vigo,-3.0,2.0,8
47228,Granada CF,1,14,L,2020-2021,Real Betis,-9.0,5.0,12
47231,Getafe,1,14,L,2020-2021,Cádiz CF,-6.0,3.0,9
47234,Real Madrid,1,14,L,2020-2021,SD Eibar,-1.0,-8.0,15
47237,CA Osasuna,1,15,T,2020-2021,Elche CF,-9.0,-9.0,17
47244,Valencia,1,15,W,2020-2021,Sevilla FC,4.0,15.0,6
47243,Levante,1,15,T,2020-2021,SD Huesca,-10.0,-20.0,19
47241,Atlético Madrid,1,15,L,2020-2021,Real Sociedad,16.0,8.0,4
47237,Real Valladolid,1,15,W,2020-2021,Barcelona,14.0,14.0,3
47245,Athletic,1,15,T,2020-2021,Villarreal,6.0,1.0,5
47239,Getafe,1,15,T,2020-2021,Celta de Vigo,-1.0,0.0,8
47241,Real Madrid,1,15,L,2020-2021,Granada CF,-1.0,10.0,7
47243,Alavés,1,15,L,2020-2021,SD Eibar,-3.0,-9.0,16
47240,Real Betis,1,15,L,2020-2021,Cádiz CF,-8.0,2.0,11
47255,Villarreal,1,16,W,2020-2021,Sevilla FC,5.0,18.0,4
47251,Barcelona,1,16,T,2020-2021,SD Eibar,-4.0,-11.0,15
47250,Cádiz CF,1,16,T,2020-2021,Real Valladolid,-9.0,-10.0,18
47247,Levante,1,16,L,2020-2021,Real Betis,-10.0,7.0,11
47253,Granada CF,1,16,L,2020-2021,Valencia,-1.0,-10.0,17
47247,Getafe,1,16,W,2020-2021,Atlético Madrid,23.0,29.0,1
47252,Celta de Vigo,1,16,L,2020-2021,SD Huesca,-10.0,-21.0,20
47248,Elche CF,1,16,T,2020-2021,Real Madrid,13.0,21.0,2
47249,Athletic,1,16,W,2020-2021,Real Sociedad,14.0,11.0,3
47249,Alavés,1,16,T,2020-2021,CA Osasuna,-12.0,-8.0,19
47262,Villarreal,1,17,L,2020-2021,Levante,-1.0,-8.0,12
47264,Real Betis,1,17,T,2020-2021,Sevilla FC,7.0,16.0,5
47263,Getafe,1,17,W,2020-2021,Real Valladolid,-9.0,-7.0,15
47260,Celta de Vigo,1,17,W,2020-2021,Real Madrid,13.0,24.0,2
47260,Athletic,1,17,L,2020-2021,Elche CF,-9.0,-12.0,18
47255,Alavés,1,17,W,2020-2021,Atlético Madrid,24.0,32.0,1
47261,SD Eibar,1,17,L,2020-2021,Granada CF,-2.0,12.0,7
47261,CA Osasuna,1,17,T,2020-2021,Real Sociedad,15.0,9.0,4
47256,SD Huesca,1,17,W,2020-2021,Barcelona,17.0,15.0,3
47264,Cádiz CF,1,17,T,2020-2021,Valencia,-2.0,-12.0,17
47268,Villarreal,1,18,L,2020-2021,Celta de Vigo,-2.0,1.0,8
47275,Real Sociedad,1,18,W,2020-2021,Sevilla FC,7.0,19.0,4
47271,Barcelona,1,18,L,2020-2021,Granada CF,-4.0,11.0,7
47270,CA Osasuna,1,18,T,2020-2021,Real Madrid,15.0,22.0,2
47272,SD Eibar,1,18,W,2020-2021,Levante,-2.0,-5.0,11
47269,Alavés,1,18,W,2020-2021,Cádiz CF,-9.0,1.0,9
47273,Valencia,1,18,L,2020-2021,Real Valladolid,-8.0,-8.0,17
47270,Getafe,1,18,L,2020-2021,Elche CF,-10.0,-13.0,18
47269,SD Huesca,1,18,W,2020-2021,Real Betis,-11.0,8.0,10
47266,Athletic,1,18,W,2020-2021,Atlético Madrid,25.0,35.0,1
47275,Real Madrid,1,19,L,2020-2021,Athletic,0.0,2.0,13
47277,Real Sociedad,1,19,W,2020-2021,Barcelona,22.0,21.0,3
47281,Cádiz CF,1,19,T,2020-2021,Levante,-1.0,-7.0,10
47282,Elche CF,1,19,T,2020-2021,Real Valladolid,-9.0,-10.0,16
47284,Alavés,1,19,W,2020-2021,Sevilla FC,8.0,22.0,4
47279,SD Huesca,1,19,W,2020-2021,Getafe,-5.0,0.0,11
47278,Real Betis,1,19,L,2020-2021,Celta de Vigo,-6.0,0.0,12
47280,Villarreal,1,19,T,2020-2021,Granada CF,-8.0,9.0,7
47284,CA Osasuna,1,19,T,2020-2021,Valencia,-1.0,-11.0,14
47276,SD Eibar,1,19,W,2020-2021,Atlético Madrid,26.0,38.0,1
47292,Real Valladolid,1,20,T,2020-2021,Levante,-1.0,-9.0,10
47294,Villarreal,1,20,T,2020-2021,SD Huesca,-15.0,-26.0,20
47286,Sevilla FC,1,20,L,2020-2021,Cádiz CF,-7.0,-2.0,12
47293,Real Betis,1,20,T,2020-2021,Real Sociedad,13.0,5.0,6
47286,Real Madrid,1,20,L,2020-2021,Alavés,-8.0,-10.0,18
47288,CA Osasuna,1,20,L,2020-2021,Granada CF,-8.0,8.0,7
47291,Barcelona,1,20,L,2020-2021,Elche CF,-12.0,-16.0,19
47290,SD Eibar,1,20,T,2020-2021,Celta de Vigo,-7.0,-2.0,11
47293,Atlético Madrid,1,20,L,2020-2021,Valencia,-1.0,-12.0,14
47287,Athletic,1,20,L,2020-2021,Getafe,-4.0,-1.0,13
47302,SD Huesca,1,21,L,2020-2021,Real Valladolid,-9.0,-13.0,16
47304,SD Eibar,1,21,W,2020-2021,Sevilla FC,12.0,28.0,4
47301,Levante,1,21,L,2020-2021,Real Madrid,20.0,27.0,3
47300,Valencia,1,21,L,2020-2021,Elche CF,-14.0,-17.0,19
47305,Real Sociedad,1,21,T,2020-2021,Villarreal,9.0,0.0,5
47298,Alavés,1,21,T,2020-2021,Getafe,-8.0,-3.0,12
47297,Atlético Madrid,1,21,L,2020-2021,Cádiz CF,-10.0,-3.0,13
47299,Celta de Vigo,1,21,T,2020-2021,Granada CF,-10.0,6.0,8
47296,Barcelona,1,21,L,2020-2021,Athletic,2.0,4.0,11
47298,Real Betis,1,21,L,2020-2021,CA Osasuna,-10.0,-12.0,17
47306,Real Valladolid,1,22,W,2020-2021,Alavés,-11.0,-9.0,16
47309,Levante,1,22,T,2020-2021,Granada CF,-10.0,4.0,8
47310,SD Huesca,1,22,W,2020-2021,Real Madrid,19.0,30.0,3
47314,Elche CF,1,22,T,2020-2021,Villarreal,9.0,-2.0,5
47315,Getafe,1,22,W,2020-2021,Sevilla FC,14.0,31.0,4
47313,Cádiz CF,1,22,W,2020-2021,Real Sociedad,13.0,6.0,6
47307,Valencia,1,22,T,2020-2021,Athletic,1.0,2.0,11
47312,CA Osasuna,1,22,L,2020-2021,SD Eibar,-6.0,-14.0,17
47312,Barcelona,1,22,L,2020-2021,Real Betis,-7.0,11.0,7
47308,Celta de Vigo,1,22,T,2020-2021,Atlético Madrid,31.0,42.0,1
47319,Celta de Vigo,1,23,L,2020-2021,Elche CF,-15.0,-20.0,19
47317,Granada CF,1,23,W,2020-2021,Atlético Madrid,31.0,45.0,1
47324,SD Huesca,1,23,W,2020-2021,Sevilla FC,17.0,34.0,4
47323,Real Valladolid,1,23,T,2020-2021,SD Eibar,-7.0,-16.0,17
47316,Alavés,1,23,W,2020-2021,Barcelona,27.0,33.0,2
47321,Getafe,1,23,W,2020-2021,Real Sociedad,16.0,9.0,5
47324,Real Madrid,1,23,L,2020-2021,Valencia,-2.0,-12.0,13
47318,Levante,1,23,W,2020-2021,CA Osasuna,-10.0,-6.0,12
47325,Real Betis,1,23,L,2020-2021,Villarreal,9.0,-3.0,6
47316,Cádiz CF,1,23,W,2020-2021,Athletic,1.0,5.0,10
47328,Real Betis,1,24,L,2020-2021,Getafe,-12.0,-6.0,15
47330,SD Eibar,1,24,W,2020-2021,Elche CF,-17.0,-17.0,19
47327,Levante,1,24,L,2020-2021,Atlético Madrid,32.0,44.0,1
47326,Valencia,1,24,L,2020-2021,Celta de Vigo,-5.0,-4.0,11
47333,Real Madrid,1,24,L,2020-2021,Real Valladolid,-12.0,-17.0,18
47328,Cádiz CF,1,24,T,2020-2021,Barcelona,31.0,31.0,4
47332,Alavés,1,24,W,2020-2021,Real Sociedad,17.0,12.0,5
47329,SD Huesca,1,24,L,2020-2021,Granada CF,-11.0,2.0,9
47326,Villarreal,1,24,T,2020-2021,Athletic,5.0,3.0,10
47333,CA Osasuna,1,24,W,2020-2021,Sevilla FC,18.0,37.0,3
47335,Levante,1,25,T,2020-2021,Athletic,5.0,1.0,10
47343,SD Huesca,1,25,T,2020-2021,SD Eibar,-8.0,-19.0,16
47337,Sevilla FC,1,25,W,2020-2021,Barcelona,31.0,34.0,2
47338,Alavés,1,25,W,2020-2021,CA Osasuna,-11.0,-4.0,12
47344,Getafe,1,25,L,2020-2021,Valencia,-2.0,-10.0,13
47337,Real Valladolid,1,25,T,2020-2021,Celta de Vigo,-7.0,-6.0,11
47340,Cádiz CF,1,25,W,2020-2021,Real Betis,-6.0,20.0,6
47339,Granada CF,1,25,L,2020-2021,Elche CF,-16.0,-18.0,19
47345,Atlético Madrid,1,25,L,2020-2021,Villarreal,8.0,-6.0,7
47341,Real Madrid,1,25,T,2020-2021,Real Sociedad,21.0,10.0,5
47354,Valencia,1,26,L,2020-2021,Villarreal,6.0,-7.0,7
47353,Getafe,1,26,W,2020-2021,Real Valladolid,-13.0,-16.0,16
47353,Elche CF,1,26,L,2020-2021,Sevilla FC,18.0,35.0,4
47352,Cádiz CF,1,26,L,2020-2021,SD Eibar,-8.0,-20.0,18
47346,CA Osasuna,1,26,W,2020-2021,Barcelona,33.0,37.0,2
47354,Celta de Vigo,1,26,L,2020-2021,SD Huesca,-14.0,-25.0,20
47347,Real Madrid,1,26,T,2020-2021,Atlético Madrid,32.0,45.0,1
47352,Levante,1,26,W,2020-2021,Real Sociedad,21.0,13.0,5
47349,Athletic,1,26,L,2020-2021,Granada CF,-11.0,4.0,10
47351,Alavés,1,26,W,2020-2021,Real Betis,-5.0,23.0,6
47363,Levante,1,27,L,2020-2021,Valencia,-4.0,-8.0,12
47356,Cádiz CF,1,27,T,2020-2021,Alavés,-20.0,-15.0,18
47358,Real Madrid,1,27,L,2020-2021,Elche CF,-16.0,-16.0,17
47361,CA Osasuna,1,27,T,2020-2021,Real Valladolid,-12.0,-18.0,16
47360,Atlético Madrid,1,27,T,2020-2021,Getafe,-11.0,-6.0,15
47355,Celta de Vigo,1,27,T,2020-2021,Athletic,6.0,2.0,10
47360,Granada CF,1,27,L,2020-2021,Real Sociedad,22.0,12.0,5
