,season,division,matchday,team,Away_team,index_match,W,L,T,result,rank,GD_home,GD_away
46611,2019-2020,1,36,Real Valladolid,Barcelona,25649,8.0,12.0,15.0,L,14.0,-10.0,10.0
46608,2019-2020,1,36,Real Betis,Atlético Madrid,25650,10.0,14.0,11.0,L,13.0,-8.0,8.0
46611,2019-2020,1,36,SD Eibar,Espanyol,25651,9.0,17.0,9.0,W,16.0,-17.0,17.0
46603,2019-2020,1,36,Athletic,Levante,25652,12.0,11.0,12.0,W,10.0,8.0,-8.0
46612,2019-2020,1,36,Valencia,CD Leganés,25653,13.0,11.0,11.0,L,8.0,-6.0,6.0
46612,2019-2020,1,36,Sevilla FC,RCD Mallorca,25654,17.0,6.0,12.0,W,3.0,17.0,-17.0
46604,2019-2020,1,36,Alavés,Getafe,25655,9.0,18.0,8.0,T,17.0,-21.0,21.0
46613,2019-2020,1,36,Villarreal,Real Sociedad,25656,17.0,12.0,6.0,L,5.0,12.0,-12.0
46609,2019-2020,1,36,Granada CF,Real Madrid,25657,14.0,13.0,8.0,L,9.0,3.0,-3.0
46620,2019-2020,1,37,Real Valladolid,SD Eibar,25658,8.0,13.0,15.0,L,15.0,-11.0,11.0
46616,2019-2020,1,37,CD Leganés,Athletic,25659,7.0,18.0,11.0,W,18.0,-23.0,23.0
46615,2019-2020,1,37,Barcelona,CA Osasuna,25660,24.0,5.0,7.0,L,2.0,44.0,-44.0
46619,2019-2020,1,37,Real Betis,Alavés,25661,10.0,15.0,11.0,L,13.0,-9.0,9.0
46619,2019-2020,1,37,Levante,Celta de Vigo,25662,12.0,17.0,7.0,W,12.0,-8.0,8.0
46614,2019-2020,1,37,Atlético Madrid,Getafe,25663,17.0,4.0,15.0,W,4.0,22.0,-22.0
46618,2019-2020,1,37,RCD Mallorca,Granada CF,25664,9.0,22.0,5.0,L,19.0,-24.0,24.0
46622,2019-2020,1,37,Villarreal,Real Madrid,25665,17.0,13.0,6.0,L,5.0,11.0,-11.0
46621,2019-2020,1,37,Sevilla FC,Real Sociedad,25666,18.0,6.0,12.0,T,3.0,19.0,-19.0
46623,2019-2020,1,37,Valencia,Espanyol,25667,13.0,12.0,11.0,W,10.0,-7.0,7.0
46624,2019-2020,1,38,Alavés,Barcelona,25668,10.0,18.0,9.0,L,15.0,-20.0,20.0
46633,2019-2020,1,38,Villarreal,SD Eibar,25669,17.0,14.0,6.0,W,5.0,10.0,-10.0
46631,2019-2020,1,38,Real Valladolid,Real Betis,25670,8.0,14.0,15.0,W,16.0,-13.0,13.0
46629,2019-2020,1,38,Real Madrid,CD Leganés,25671,26.0,3.0,8.0,T,1.0,45.0,-45.0
46632,2019-2020,1,38,Sevilla FC,Valencia,25672,18.0,6.0,13.0,W,4.0,19.0,-19.0
46625,2019-2020,1,38,Celta de Vigo,Espanyol,25673,7.0,15.0,15.0,T,17.0,-12.0,12.0
46630,2019-2020,1,38,Levante,Getafe,25674,13.0,17.0,7.0,W,12.0,-7.0,7.0
46629,2019-2020,1,38,Granada CF,Athletic,25675,15.0,14.0,8.0,W,8.0,3.0,-3.0
46627,2019-2020,1,38,RCD Mallorca,CA Osasuna,25676,9.0,23.0,5.0,T,19.0,-25.0,25.0
46625,2019-2020,1,38,Atlético Madrid,Real Sociedad,25677,18.0,4.0,15.0,T,3.0,24.0,-24.0
47097,2020-2021,1,1,Celta de Vigo,SD Eibar,25678,,,,T,,,
47100,2020-2021,1,1,Granada CF,Athletic,25679,,,,W,,,
47096,2020-2021,1,1,CA Osasuna,Cádiz CF,25680,,,,W,,,
47101,2020-2021,1,1,Real Betis,Alavés,25681,,,,W,,,
47102,2020-2021,1,1,Real Sociedad,Real Valladolid,25682,,,,T,,,
47103,2020-2021,1,1,SD Huesca,Villarreal,25683,,,,T,,,
47104,2020-2021,1,1,Valencia,Levante,25684,,,,W,,,
47104,2020-2021,1,1,Sevilla FC,Atlético Madrid,25685,,,,L,,,
47099,2020-2021,1,1,Getafe,Real Madrid,25686,,,,L,,,
47098,2020-2021,1,1,Elche CF,Barcelona,25687,,,,L,,,
47115,2020-2021,1,2,Villarreal,SD Eibar,25688,0.0,0.0,1.0,W,9.0,0.0,0.0
47108,2020-2021,1,2,Getafe,CA Osasuna,25689,0.0,1.0,0.0,W,18.0,-2.0,2.0
47107,2020-2021,1,2,Celta de Vigo,Valencia,25690,0.0,0.0,1.0,W,13.0,0.0,0.0
47109,2020-2021,1,2,Cádiz CF,SD Huesca,25691,0.0,1.0,0.0,W,16.0,-2.0,2.0
47111,2020-2021,1,2,Real Betis,Real Valladolid,25692,1.0,0.0,0.0,W,7.0,1.0,-1.0
47105,2020-2021,1,2,Alavés,Granada CF,25693,0.0,1.0,0.0,L,14.0,-1.0,1.0
47111,2020-2021,1,2,Real Madrid,Real Sociedad,25694,1.0,0.0,0.0,T,5.0,2.0,-2.0
47106,2020-2021,1,2,Athletic,Barcelona,25695,0.0,1.0,0.0,L,17.0,-2.0,2.0
47110,2020-2021,1,2,Levante,Atlético Madrid,25696,0.0,1.0,0.0,T,15.0,-2.0,2.0
47114,2020-2021,1,2,Sevilla FC,Elche CF,25697,0.0,1.0,0.0,W,19.0,-2.0,2.0
47116,2020-2021,1,3,Alavés,Getafe,25698,0.0,2.0,0.0,T,19.0,-2.0,2.0
47122,2020-2021,1,3,SD Huesca,Valencia,25699,0.0,1.0,1.0,T,16.0,-2.0,2.0
47121,2020-2021,1,3,Real Sociedad,Elche CF,25700,0.0,0.0,2.0,W,13.0,0.0,0.0
47120,2020-2021,1,3,Real Madrid,Real Betis,25701,1.0,0.0,1.0,W,7.0,2.0,-2.0
47119,2020-2021,1,3,CA Osasuna,Levante,25702,1.0,1.0,0.0,L,12.0,1.0,-1.0
47124,2020-2021,1,3,SD Eibar,Athletic,25703,0.0,1.0,1.0,L,15.0,-1.0,1.0
47117,2020-2021,1,3,Atlético Madrid,Granada CF,25704,1.0,0.0,1.0,W,6.0,2.0,-2.0
47123,2020-2021,1,3,Sevilla FC,Cádiz CF,25705,1.0,1.0,0.0,W,8.0,0.0,0.0
47123,2020-2021,1,3,Real Valladolid,Celta de Vigo,25706,0.0,1.0,1.0,T,17.0,-2.0,2.0
47118,2020-2021,1,3,Barcelona,Villarreal,25707,2.0,0.0,0.0,W,2.0,4.0,-4.0
47131,2020-2021,1,4,Real Sociedad,Valencia,25708,1.0,0.0,2.0,L,7.0,3.0,-3.0
47132,2020-2021,1,4,Real Betis,Getafe,25709,2.0,1.0,0.0,L,5.0,2.0,-2.0
47126,2020-2021,1,4,Atlético Madrid,SD Huesca,25710,2.0,0.0,1.0,T,2.0,7.0,-7.0
47135,2020-2021,1,4,Villarreal,Alavés,25711,1.0,1.0,1.0,W,12.0,-3.0,3.0
47132,2020-2021,1,4,SD Eibar,Elche CF,25712,0.0,2.0,1.0,L,19.0,-2.0,2.0
47130,2020-2021,1,4,Real Madrid,Real Valladolid,25713,2.0,0.0,1.0,W,3.0,3.0,-3.0
47134,2020-2021,1,4,Sevilla FC,Levante,25714,2.0,1.0,0.0,W,4.0,2.0,-2.0
47126,2020-2021,1,4,Athletic,Cádiz CF,25715,1.0,2.0,0.0,L,13.0,-2.0,2.0
47127,2020-2021,1,4,Barcelona,Celta de Vigo,25716,3.0,0.0,0.0,W,1.0,8.0,-8.0
47129,2020-2021,1,4,Granada CF,CA Osasuna,25717,2.0,1.0,0.0,W,6.0,-2.0,2.0
47144,2020-2021,1,5,Real Valladolid,SD Eibar,25718,0.0,2.0,2.0,L,18.0,-3.0,3.0
47144,2020-2021,1,5,Villarreal,Atlético Madrid,25719,2.0,1.0,1.0,T,7.0,-1.0,1.0
47137,2020-2021,1,5,Getafe,Real Sociedad,25720,2.0,1.0,1.0,L,6.0,2.0,-2.0
47141,2020-2021,1,5,Elche CF,SD Huesca,25721,1.0,3.0,0.0,T,14.0,-7.0,7.0
47139,2020-2021,1,5,Real Betis,Valencia,25722,2.0,2.0,0.0,W,10.0,-1.0,1.0
47136,2020-2021,1,5,Celta de Vigo,CA Osasuna,25723,1.0,1.0,2.0,L,12.0,-2.0,2.0
47136,2020-2021,1,5,Alavés,Athletic,25724,0.0,3.0,1.0,W,20.0,-4.0,4.0
47142,2020-2021,1,5,Levante,Real Madrid,25725,1.0,2.0,1.0,L,13.0,-1.0,1.0
47140,2020-2021,1,5,Cádiz CF,Granada CF,25726,2.0,2.0,0.0,T,9.0,-1.0,1.0
47143,2020-2021,1,5,Sevilla FC,Barcelona,25727,3.0,1.0,0.0,T,4.0,3.0,-3.0
47150,2020-2021,1,6,Granada CF,Sevilla FC,25728,3.0,1.0,1.0,W,3.0,0.0,0.0
47145,2020-2021,1,6,Atlético Madrid,Celta de Vigo,25729,2.0,0.0,3.0,W,6.0,7.0,-7.0
47152,2020-2021,1,6,Real Madrid,Cádiz CF,25730,4.0,0.0,1.0,L,1.0,6.0,-6.0
47146,2020-2021,1,6,Barcelona,Getafe,25731,4.0,0.0,1.0,L,2.0,11.0,-11.0
47153,2020-2021,1,6,SD Eibar,CA Osasuna,25732,1.0,3.0,1.0,T,14.0,-2.0,2.0
47147,2020-2021,1,6,Athletic,Levante,25733,1.0,4.0,0.0,W,19.0,-4.0,4.0
47155,2020-2021,1,6,Villarreal,Valencia,25734,2.0,1.0,2.0,W,8.0,-1.0,1.0
47149,2020-2021,1,6,Elche CF,Alavés,25735,1.0,3.0,1.0,W,17.0,-7.0,7.0
47152,2020-2021,1,6,Real Valladolid,SD Huesca,25736,0.0,3.0,2.0,T,20.0,-4.0,4.0
47151,2020-2021,1,6,Real Sociedad,Real Betis,25737,2.0,1.0,2.0,W,7.0,5.0,-5.0
47160,2020-2021,1,7,Elche CF,Valencia,25738,2.0,3.0,1.0,W,11.0,-5.0,5.0
47160,2020-2021,1,7,Real Madrid,Barcelona,25739,4.0,1.0,1.0,W,3.0,5.0,-5.0
47156,2020-2021,1,7,Athletic,CA Osasuna,25740,2.0,4.0,0.0,L,14.0,-2.0,2.0
47161,2020-2021,1,7,SD Eibar,Sevilla FC,25741,1.0,3.0,2.0,W,15.0,-2.0,2.0
47156,2020-2021,1,7,Atlético Madrid,Real Betis,25742,3.0,0.0,3.0,W,4.0,9.0,-9.0
47155,2020-2021,1,7,Alavés,Real Valladolid,25743,1.0,4.0,1.0,W,19.0,-5.0,5.0
47164,2020-2021,1,7,Villarreal,Cádiz CF,25744,3.0,1.0,2.0,T,6.0,0.0,0.0
47158,2020-2021,1,7,Granada CF,Getafe,25745,4.0,1.0,1.0,W,1.0,1.0,-1.0
47163,2020-2021,1,7,Real Sociedad,SD Huesca,25746,3.0,1.0,2.0,W,5.0,8.0,-8.0
47157,2020-2021,1,7,Celta de Vigo,Levante,25747,1.0,3.0,2.0,T,17.0,-6.0,6.0
47173,2020-2021,1,8,SD Eibar,Cádiz CF,25748,2.0,3.0,2.0,L,13.0,-1.0,1.0
47173,2020-2021,1,8,SD Huesca,Real Madrid,25749,0.0,2.0,5.0,L,19.0,-5.0,5.0
47174,2020-2021,1,8,Sevilla FC,Athletic,25750,3.0,3.0,1.0,L,10.0,1.0,-1.0
47165,2020-2021,1,8,Atlético Madrid,CA Osasuna,25751,4.0,0.0,3.0,W,3.0,11.0,-11.0
47166,2020-2021,1,8,Barcelona,Alavés,25752,4.0,2.0,1.0,T,5.0,8.0,-8.0
47168,2020-2021,1,8,Elche CF,Real Betis,25753,3.0,3.0,1.0,L,9.0,-4.0,4.0
47171,2020-2021,1,8,Real Sociedad,Celta de Vigo,25754,4.0,1.0,2.0,W,4.0,11.0,-11.0
47170,2020-2021,1,8,Granada CF,Levante,25755,5.0,1.0,1.0,T,2.0,2.0,-2.0
47169,2020-2021,1,8,Getafe,Valencia,25756,3.0,3.0,1.0,T,11.0,-1.0,1.0
47172,2020-2021,1,8,Real Valladolid,Villarreal,25757,0.0,4.0,3.0,L,20.0,-6.0,6.0
47178,2020-2021,1,9,Celta de Vigo,Elche CF,25758,1.0,4.0,3.0,T,18.0,-9.0,9.0
47183,2020-2021,1,9,SD Eibar,SD Huesca,25759,2.0,4.0,2.0,T,16.0,-3.0,3.0
47181,2020-2021,1,9,Real Betis,Barcelona,25760,4.0,4.0,0.0,L,8.0,-2.0,2.0
47184,2020-2021,1,9,Sevilla FC,CA Osasuna,25761,3.0,4.0,1.0,W,10.0,0.0,0.0
47179,2020-2021,1,9,Cádiz CF,Atlético Madrid,25762,4.0,2.0,2.0,L,6.0,2.0,-2.0
47184,2020-2021,1,9,Villarreal,Getafe,25763,4.0,1.0,3.0,W,5.0,2.0,-2.0
47181,2020-2021,1,9,Real Sociedad,Granada CF,25764,5.0,1.0,2.0,W,3.0,14.0,-14.0
47175,2020-2021,1,9,Alavés,Levante,25765,2.0,4.0,2.0,T,15.0,-3.0,3.0
47182,2020-2021,1,9,Real Valladolid,Athletic,25766,0.0,5.0,3.0,W,20.0,-8.0,8.0
47185,2020-2021,1,9,Valencia,Real Madrid,25767,2.0,4.0,2.0,W,14.0,-2.0,2.0
47189,2020-2021,1,10,CA Osasuna,SD Huesca,25768,3.0,5.0,1.0,T,13.0,-3.0,3.0
47187,2020-2021,1,10,Elche CF,Levante,25769,3.0,4.0,2.0,T,11.0,-6.0,6.0
47190,2020-2021,1,10,Real Madrid,Villarreal,25770,6.0,2.0,1.0,T,3.0,7.0,-7.0
47186,2020-2021,1,10,Celta de Vigo,Sevilla FC,25771,1.0,4.0,4.0,L,18.0,-9.0,9.0
47188,2020-2021,1,10,Atlético Madrid,Barcelona,25772,6.0,0.0,3.0,W,1.0,17.0,-17.0
47193,2020-2021,1,10,SD Eibar,Getafe,25773,2.0,4.0,3.0,T,15.0,-3.0,3.0
47190,2020-2021,1,10,Cádiz CF,Real Sociedad,25774,4.0,3.0,2.0,L,7.0,-2.0,2.0
47192,2020-2021,1,10,Real Valladolid,Granada CF,25775,1.0,5.0,3.0,W,19.0,-7.0,7.0
47186,2020-2021,1,10,Alavés,Valencia,25776,2.0,4.0,3.0,T,14.0,-3.0,3.0
47189,2020-2021,1,10,Real Betis,Athletic,25777,4.0,5.0,0.0,L,9.0,-5.0,5.0
47203,2020-2021,1,11,Real Valladolid,Levante,25778,2.0,5.0,3.0,T,17.0,-5.0,5.0
47198,2020-2021,1,11,Elche CF,Cádiz CF,25779,3.0,4.0,3.0,T,11.0,-6.0,6.0
47197,2020-2021,1,11,Atlético Madrid,Valencia,25780,7.0,0.0,3.0,W,1.0,18.0,-18.0
47204,2020-2021,1,11,SD Huesca,Sevilla FC,25781,0.0,3.0,7.0,L,19.0,-8.0,8.0
47201,2020-2021,1,11,Real Madrid,Alavés,25782,6.0,2.0,2.0,L,3.0,7.0,-7.0
47198,2020-2021,1,11,CA Osasuna,Barcelona,25783,3.0,5.0,2.0,L,14.0,-3.0,3.0
47196,2020-2021,1,11,Athletic,Getafe,25784,4.0,6.0,0.0,T,9.0,1.0,-1.0
47197,2020-2021,1,11,Celta de Vigo,Granada CF,25785,1.0,5.0,4.0,W,20.0,-11.0,11.0
47204,2020-2021,1,11,Villarreal,Real Sociedad,25786,5.0,1.0,4.0,T,4.0,4.0,-4.0
47200,2020-2021,1,11,Real Betis,SD Eibar,25787,4.0,6.0,0.0,L,13.0,-9.0,9.0
47207,2020-2021,1,12,Athletic,Celta de Vigo,25788,4.0,6.0,1.0,L,11.0,1.0,-1.0
47212,2020-2021,1,12,Levante,Getafe,25789,1.0,4.0,6.0,W,19.0,-5.0,5.0
47214,2020-2021,1,12,Sevilla FC,Real Madrid,25790,6.0,4.0,1.0,L,6.0,4.0,-4.0
47212,2020-2021,1,12,Real Valladolid,Atlético Madrid,25791,2.0,5.0,4.0,L,18.0,-5.0,5.0
47210,2020-2021,1,12,Cádiz CF,Barcelona,25792,4.0,4.0,3.0,W,8.0,-3.0,3.0
47213,2020-2021,1,12,SD Huesca,Granada CF,25793,0.0,4.0,7.0,T,20.0,-9.0,9.0
47209,2020-2021,1,12,CA Osasuna,Real Betis,25794,3.0,6.0,2.0,L,16.0,-7.0,7.0
47215,2020-2021,1,12,Villarreal,Elche CF,25795,5.0,1.0,5.0,T,4.0,4.0,-4.0
47206,2020-2021,1,12,Alavés,Real Sociedad,25796,3.0,4.0,4.0,T,10.0,-2.0,2.0
47213,2020-2021,1,12,SD Eibar,Valencia,25797,3.0,4.0,4.0,T,9.0,-1.0,1.0
47218,2020-2021,1,13,CA Osasuna,Real Valladolid,25798,3.0,7.0,2.0,L,18.0,-9.0,9.0
47225,2020-2021,1,13,Valencia,Athletic,25799,3.0,5.0,4.0,T,14.0,0.0,0.0
47219,2020-2021,1,13,Getafe,Sevilla FC,25800,3.0,5.0,4.0,L,16.0,-6.0,6.0
47224,2020-2021,1,13,SD Huesca,Alavés,25801,0.0,4.0,8.0,W,20.0,-9.0,9.0
47217,2020-2021,1,13,Atlético Madrid,Real Madrid,25802,9.0,0.0,3.0,L,1.0,21.0,-21.0
47222,2020-2021,1,13,SD Eibar,Real Sociedad,25803,3.0,4.0,5.0,T,12.0,-1.0,1.0
47220,2020-2021,1,13,Real Betis,Villarreal,25804,5.0,7.0,0.0,T,9.0,-9.0,9.0
47218,2020-2021,1,13,Elche CF,Granada CF,25805,3.0,4.0,5.0,L,11.0,-6.0,6.0
47216,2020-2021,1,13,Barcelona,Levante,25806,6.0,4.0,2.0,W,5.0,13.0,-13.0
47219,2020-2021,1,13,Cádiz CF,Celta de Vigo,25807,5.0,4.0,3.0,L,7.0,-2.0,2.0
47226,2020-2021,1,14,Athletic,SD Huesca,25808,4.0,7.0,2.0,W,13.0,-1.0,1.0
47226,2020-2021,1,14,Elche CF,Atlético Madrid,25809,3.0,5.0,5.0,L,15.0,-7.0,7.0
47233,2020-2021,1,14,Valencia,Barcelona,25810,3.0,5.0,5.0,T,12.0,0.0,0.0
47233,2020-2021,1,14,Levante,Real Sociedad,25811,2.0,5.0,6.0,W,18.0,-3.0,3.0
47229,2020-2021,1,14,CA Osasuna,Villarreal,25812,3.0,8.0,2.0,L,20.0,-10.0,10.0
47231,2020-2021,1,14,Real Valladolid,Sevilla FC,25813,3.0,6.0,4.0,T,16.0,-6.0,6.0
47225,2020-2021,1,14,Alavés,Celta de Vigo,25814,3.0,5.0,5.0,L,14.0,-3.0,3.0
47232,2020-2021,1,14,Granada CF,Real Betis,25815,6.0,4.0,3.0,W,7.0,-3.0,3.0
47227,2020-2021,1,14,Getafe,Cádiz CF,25816,3.0,6.0,4.0,W,17.0,-7.0,7.0
47234,2020-2021,1,14,SD Eibar,Real Madrid,25817,3.0,4.0,6.0,L,11.0,-1.0,1.0
47238,2020-2021,1,15,CA Osasuna,Elche CF,25818,3.0,9.0,2.0,T,20.0,-12.0,12.0
47244,2020-2021,1,15,Valencia,Sevilla FC,25819,3.0,5.0,6.0,L,14.0,0.0,0.0
47243,2020-2021,1,15,SD Huesca,Levante,25820,1.0,5.0,8.0,T,19.0,-10.0,10.0
47241,2020-2021,1,15,Real Sociedad,Atlético Madrid,25821,7.0,2.0,5.0,L,3.0,16.0,-16.0
47237,2020-2021,1,15,Barcelona,Real Valladolid,25822,7.0,4.0,3.0,W,6.0,14.0,-14.0
47245,2020-2021,1,15,Villarreal,Athletic,25823,6.0,1.0,7.0,T,4.0,6.0,-6.0
47238,2020-2021,1,15,Getafe,Celta de Vigo,25824,4.0,6.0,4.0,T,11.0,-5.0,5.0
47240,2020-2021,1,15,Real Madrid,Granada CF,25825,9.0,3.0,2.0,W,2.0,11.0,-11.0
47243,2020-2021,1,15,SD Eibar,Alavés,25826,3.0,5.0,6.0,L,15.0,-3.0,3.0
47240,2020-2021,1,15,Cádiz CF,Real Betis,25827,5.0,6.0,3.0,L,9.0,-8.0,8.0
47255,2020-2021,1,16,Sevilla FC,Villarreal,25828,8.0,5.0,2.0,W,4.0,5.0,-5.0
47248,2020-2021,1,16,Barcelona,SD Eibar,25829,8.0,4.0,3.0,T,3.0,17.0,-17.0
47251,2020-2021,1,16,Cádiz CF,Real Valladolid,25830,5.0,7.0,3.0,T,11.0,-9.0,9.0
47247,2020-2021,1,16,Real Betis,Levante,25831,6.0,8.0,1.0,L,9.0,-10.0,10.0
47253,2020-2021,1,16,Granada CF,Valencia,25832,7.0,5.0,3.0,W,7.0,-3.0,3.0
47247,2020-2021,1,16,Atlético Madrid,Getafe,25833,11.0,1.0,3.0,W,1.0,23.0,-23.0
47250,2020-2021,1,16,Celta de Vigo,SD Huesca,25834,5.0,5.0,5.0,W,8.0,-1.0,1.0
47252,2020-2021,1,16,Elche CF,Real Madrid,25835,3.0,6.0,6.0,T,15.0,-9.0,9.0
47249,2020-2021,1,16,Real Sociedad,Athletic,25836,7.0,3.0,5.0,W,6.0,14.0,-14.0
47245,2020-2021,1,16,Alavés,CA Osasuna,25837,4.0,6.0,5.0,T,12.0,-4.0,4.0
47262,2020-2021,1,17,Levante,Villarreal,25838,4.0,5.0,7.0,L,9.0,-1.0,1.0
47259,2020-2021,1,17,Real Betis,Sevilla FC,25839,6.0,9.0,1.0,T,11.0,-11.0,11.0
47263,2020-2021,1,17,Real Valladolid,Getafe,25840,3.0,7.0,6.0,W,17.0,-9.0,9.0
47260,2020-2021,1,17,Real Madrid,Celta de Vigo,25841,10.0,3.0,3.0,W,2.0,13.0,-13.0
47257,2020-2021,1,17,Athletic,Elche CF,25842,5.0,8.0,3.0,W,13.0,0.0,0.0
47256,2020-2021,1,17,Alavés,Atlético Madrid,25843,4.0,6.0,6.0,L,12.0,-4.0,4.0
47261,2020-2021,1,17,Granada CF,SD Eibar,25844,8.0,5.0,3.0,L,6.0,-2.0,2.0
47261,2020-2021,1,17,Real Sociedad,CA Osasuna,25845,8.0,3.0,5.0,T,4.0,15.0,-15.0
47263,2020-2021,1,17,SD Huesca,Barcelona,25846,1.0,6.0,9.0,L,20.0,-11.0,11.0
47259,2020-2021,1,17,Cádiz CF,Valencia,25847,5.0,7.0,4.0,T,10.0,-9.0,9.0
47268,2020-2021,1,18,Celta de Vigo,Villarreal,25848,6.0,6.0,5.0,L,8.0,-2.0,2.0
47275,2020-2021,1,18,Sevilla FC,Real Sociedad,25849,9.0,5.0,3.0,W,5.0,7.0,-7.0
47271,2020-2021,1,18,Granada CF,Barcelona,25850,8.0,6.0,3.0,L,7.0,-4.0,4.0
47267,2020-2021,1,18,CA Osasuna,Real Madrid,25851,3.0,9.0,5.0,T,19.0,-12.0,12.0
47272,2020-2021,1,18,SD Eibar,Levante,25852,4.0,6.0,7.0,L,12.0,-2.0,2.0
47265,2020-2021,1,18,Alavés,Cádiz CF,25853,4.0,7.0,6.0,L,15.0,-5.0,5.0
47273,2020-2021,1,18,Valencia,Real Valladolid,25854,3.0,7.0,7.0,W,17.0,-2.0,2.0
47268,2020-2021,1,18,Getafe,Elche CF,25855,4.0,8.0,5.0,W,16.0,-7.0,7.0
47269,2020-2021,1,18,Real Betis,SD Huesca,25856,6.0,9.0,2.0,W,10.0,-11.0,11.0
47266,2020-2021,1,18,Athletic,Atlético Madrid,25857,6.0,8.0,3.0,L,9.0,1.0,-1.0
47275,2020-2021,1,19,Athletic,Real Madrid,25858,6.0,9.0,3.0,L,12.0,0.0,0.0
47277,2020-2021,1,19,Barcelona,Real Sociedad,25859,10.0,4.0,4.0,W,3.0,22.0,-22.0
47281,2020-2021,1,19,Levante,Cádiz CF,25860,5.0,6.0,7.0,T,11.0,-1.0,1.0
47282,2020-2021,1,19,Real Valladolid,Elche CF,25861,4.0,8.0,6.0,T,16.0,-9.0,9.0
47276,2020-2021,1,19,Alavés,Sevilla FC,25862,4.0,8.0,6.0,L,17.0,-7.0,7.0
47279,2020-2021,1,19,Getafe,SD Huesca,25863,5.0,8.0,5.0,W,13.0,-5.0,5.0
47278,2020-2021,1,19,Celta de Vigo,Real Betis,25864,6.0,7.0,5.0,L,10.0,-6.0,6.0
47280,2020-2021,1,19,Granada CF,Villarreal,25865,8.0,7.0,3.0,T,7.0,-8.0,8.0
47277,2020-2021,1,19,CA Osasuna,Valencia,25866,3.0,9.0,6.0,T,19.0,-12.0,12.0
47276,2020-2021,1,19,Atlético Madrid,SD Eibar,25867,14.0,1.0,3.0,W,1.0,26.0,-26.0
47291,2020-2021,1,20,Real Valladolid,Levante,25868,4.0,8.0,7.0,T,15.0,-9.0,9.0
47294,2020-2021,1,20,Villarreal,SD Huesca,25869,8.0,2.0,9.0,T,5.0,9.0,-9.0
47286,2020-2021,1,20,Cádiz CF,Sevilla FC,25870,6.0,7.0,6.0,L,9.0,-7.0,7.0
47289,2020-2021,1,20,Real Betis,Real Sociedad,25871,8.0,9.0,2.0,T,8.0,-8.0,8.0
47290,2020-2021,1,20,Real Madrid,Alavés,25872,12.0,3.0,4.0,W,2.0,17.0,-17.0
47288,2020-2021,1,20,Granada CF,CA Osasuna,25873,8.0,7.0,4.0,L,7.0,-8.0,8.0
47285,2020-2021,1,20,Barcelona,Elche CF,25874,11.0,4.0,4.0,W,3.0,23.0,-23.0
47292,2020-2021,1,20,SD Eibar,Celta de Vigo,25875,4.0,8.0,7.0,T,16.0,-4.0,4.0
47293,2020-2021,1,20,Valencia,Atlético Madrid,25876,4.0,7.0,8.0,L,14.0,-1.0,1.0
47287,2020-2021,1,20,Getafe,Athletic,25877,6.0,8.0,5.0,L,10.0,-4.0,4.0
47303,2020-2021,1,21,SD Huesca,Real Valladolid,25878,1.0,9.0,10.0,W,20.0,-15.0,15.0
47303,2020-2021,1,21,SD Eibar,Sevilla FC,25879,4.0,8.0,8.0,L,15.0,-4.0,4.0
47301,2020-2021,1,21,Levante,Real Madrid,25880,5.0,6.0,9.0,W,10.0,-1.0,1.0
47304,2020-2021,1,21,Valencia,Elche CF,25881,4.0,8.0,8.0,W,16.0,-3.0,3.0
47302,2020-2021,1,21,Real Sociedad,Villarreal,25882,8.0,5.0,7.0,T,6.0,13.0,-13.0
47298,2020-2021,1,21,Getafe,Alavés,25883,6.0,9.0,5.0,T,13.0,-8.0,8.0
47297,2020-2021,1,21,Cádiz CF,Atlético Madrid,25884,6.0,8.0,6.0,L,12.0,-10.0,10.0
47299,2020-2021,1,21,Granada CF,Celta de Vigo,25885,8.0,8.0,4.0,T,7.0,-10.0,10.0
47296,2020-2021,1,21,Barcelona,Athletic,25886,12.0,4.0,4.0,W,3.0,25.0,-25.0
47298,2020-2021,1,21,CA Osasuna,Real Betis,25887,4.0,9.0,7.0,L,17.0,-10.0,10.0
47311,2020-2021,1,22,Real Valladolid,Alavés,25888,4.0,9.0,8.0,L,15.0,-11.0,11.0
47309,2020-2021,1,22,Granada CF,Levante,25889,8.0,8.0,5.0,T,8.0,-10.0,10.0
47314,2020-2021,1,22,SD Huesca,Real Madrid,25890,2.0,9.0,10.0,L,20.0,-13.0,13.0
47310,2020-2021,1,22,Elche CF,Villarreal,25891,3.0,10.0,8.0,T,19.0,-15.0,15.0
47308,2020-2021,1,22,Getafe,Sevilla FC,25892,6.0,9.0,6.0,L,11.0,-8.0,8.0
47307,2020-2021,1,22,Cádiz CF,Real Sociedad,25893,6.0,9.0,6.0,L,13.0,-12.0,12.0
47313,2020-2021,1,22,Valencia,Athletic,25894,5.0,8.0,8.0,T,14.0,-2.0,2.0
47312,2020-2021,1,22,SD Eibar,CA Osasuna,25895,4.0,9.0,8.0,L,16.0,-6.0,6.0
47305,2020-2021,1,22,Barcelona,Real Betis,25896,13.0,4.0,4.0,W,2.0,26.0,-26.0
47306,2020-2021,1,22,Celta de Vigo,Atlético Madrid,25897,6.0,8.0,7.0,T,10.0,-7.0,7.0
47317,2020-2021,1,23,Celta de Vigo,Elche CF,25898,6.0,8.0,8.0,W,10.0,-7.0,7.0
47320,2020-2021,1,23,Granada CF,Atlético Madrid,25899,8.0,8.0,6.0,L,7.0,-10.0,10.0
